telemetry_id,node_id,cluster_rack,model_training_job,gpu_utilization_pct,power_draw_watts,temperature_celsius,nvlink_bandwidth_tbps,allreduce_sync_latency_ms,sm_clock_mhz,memory_used_gb,throttle_state
GPU-0001,dgx-h100-n01,Rack-A2,GPT-4o-Distillation,75.2,534.8,73.8,2.61,1.26,1788,76.9,OPTIMAL
GPU-0002,dgx-h100-n02,Rack-B1,Vision-Transformer-Huge,94.5,639.3,73.8,2.81,1.58,1872,76.1,OPTIMAL
GPU-0003,dgx-h100-n03,Rack-B2,Multimodal-Diffusion-XL,86.1,590.5,75.9,3.03,2.65,1774,76.4,OPTIMAL
GPU-0004,dgx-h100-n04,Rack-C1,Reinforcement-RLHF-V2,95.1,639,74.6,2.7,6.62,1830,75.8,OPTIMAL
GPU-0005,dgx-h100-n05,Rack-C2,Llama-3-405B-Pretrain,84.6,587.1,73.3,3.02,1.22,1737,75.4,OPTIMAL
GPU-0006,dgx-h100-n06,Rack-D1,GPT-4o-Distillation,86.1,598.7,75,2.43,2.35,1777,73.8,OPTIMAL
GPU-0007,dgx-h100-n07,Rack-D2,Vision-Transformer-Huge,92,638.9,75.9,2.81,6.37,1822,69.9,OPTIMAL
GPU-0008,dgx-h100-n08,Rack-A1,Multimodal-Diffusion-XL,87.5,604.5,73.4,2.51,1.29,1715,77.9,OPTIMAL
GPU-0009,dgx-h100-n09,Rack-A2,Reinforcement-RLHF-V2,75.6,523.3,70.9,2.99,1.92,1713,73.4,OPTIMAL
GPU-0010,dgx-h100-n10,Rack-B1,Llama-3-405B-Pretrain,82.1,561.8,73.5,2.65,3.32,1821,73.6,OPTIMAL
GPU-0011,dgx-h100-n11,Rack-B2,GPT-4o-Distillation,99.8,698.5,89.4,0.42,48.2,810,79.4,THERMAL_THROTTLE_ALERT
GPU-0012,dgx-h100-n12,Rack-C1,Vision-Transformer-Huge,89.8,608,72.8,2.75,2.32,1787,74.8,OPTIMAL
GPU-0013,dgx-h100-n13,Rack-C2,Multimodal-Diffusion-XL,86.2,588.1,75.6,2.48,1.88,1726,72,OPTIMAL
GPU-0014,dgx-h100-n14,Rack-D1,Reinforcement-RLHF-V2,75.1,518.8,72.3,2.52,2.95,1719,68.9,OPTIMAL
GPU-0015,dgx-h100-n15,Rack-D2,Llama-3-405B-Pretrain,75.3,533.3,73,3.08,1.55,1877,71,OPTIMAL
GPU-0016,dgx-h100-n16,Rack-A1,GPT-4o-Distillation,78.6,555.8,71.1,2.78,1.21,1774,73.8,OPTIMAL
GPU-0017,dgx-h100-n17,Rack-A2,Vision-Transformer-Huge,89.8,616.4,74.3,2.84,3.95,1775,73.6,OPTIMAL
GPU-0018,dgx-h100-n18,Rack-B1,Multimodal-Diffusion-XL,86.1,602.5,75.8,2.95,6.16,1876,75.6,OPTIMAL
GPU-0019,dgx-h100-n19,Rack-B2,Reinforcement-RLHF-V2,94.3,649.7,77.5,2.9,6.38,1866,71.7,OPTIMAL
GPU-0020,dgx-h100-n20,Rack-C1,Llama-3-405B-Pretrain,95,638.9,76.3,3.13,3.93,1715,73.7,OPTIMAL
GPU-0021,dgx-h100-n21,Rack-C2,GPT-4o-Distillation,75.8,534.2,71,2.98,1.2,1786,78,OPTIMAL
GPU-0022,dgx-h100-n22,Rack-D1,Vision-Transformer-Huge,75.4,527.9,73,2.82,1.4,1887,78.8,OPTIMAL
