planet_id,planet_name,host_star,discovery_method,orbital_period_days,semi_major_axis_au,equilibrium_temp_kelvin,planet_mass_earth,planet_radius_earth,stellar_luminosity_solar,habitability_score,atmospheric_density_bar,spectroscopy_snr,cluster_cohort
PLN-0001,Kepler-452-c,Kepler-452,Radial Velocity,0.5,0.012,2031.2,7.38,1.41,1.14,0.06,2.29,83.4,Super-Earth
PLN-0002,HD-209458-d,HD-209458,Direct Imaging,21.85,0.153,736,13.14,2.27,1.15,0.05,16.23,78.5,Sub-Neptune
PLN-0003,Proxima-e,Proxima,Transit Timing,14.01,0.114,736.4,161.33,9.22,0.64,0,26.17,26.7,Hot Jupiter
PLN-0004,TOI-700-f,TOI-700,Transit,192.13,0.652,357.3,430,12.79,1.16,0,13.92,55,Gas Giant
PLN-0005,WASP-121-g,WASP-121,Radial Velocity,1.32,0.024,2063.9,0.86,0.88,1.75,0.09,0.82,20.8,Rocky Terrestrial
PLN-0006,K2-18-b,K2-18,Direct Imaging,0.59,0.014,2334.8,8.82,1.83,1.99,0.09,4.58,60.5,Super-Earth
PLN-0007,Gliese-667C-c,Gliese-667C,Transit Timing,6.33,0.067,1040.2,13.34,2.88,0.88,0.05,13.61,43.6,Sub-Neptune
PLN-0008,LHS-1140-d,LHS-1140,Transit,0.74,0.016,2035.7,120.96,10.95,1.15,0,26.46,32.5,Hot Jupiter
PLN-0009,Beta-Pictoris-e,Beta-Pictoris,Radial Velocity,0.81,0.017,2331.8,295.74,8.58,1.98,0,59.67,48.2,Gas Giant
PLN-0010,Trappist-1-f,Trappist-1,Direct Imaging,88.11,0.388,382.6,0.95,1.2,0.54,0.04,1.63,46,Rocky Terrestrial
PLN-0011,Kepler-452-g,Kepler-452,Transit Timing,12.73,0.107,946.7,2.92,1.85,1.54,0.12,1.89,21.9,Super-Earth
PLN-0012,HD-209458-b,HD-209458,Transit,0.79,0.015,2850,420.5,16.8,1.95,0.01,0.05,89.4,Sub-Neptune
PLN-0013,Proxima-c,Proxima,Radial Velocity,1.34,0.024,1934.3,221.15,9.62,1.35,0,35.34,53.9,Hot Jupiter
PLN-0014,TOI-700-d,TOI-700,Direct Imaging,1.07,0.02,2328.9,206.87,12.99,1.97,0,23.27,63.3,Gas Giant
PLN-0015,WASP-121-e,WASP-121,Transit Timing,425,1.106,266.9,0.83,1.15,1.04,0.74,2.16,40.8,Rocky Terrestrial
PLN-0016,K2-18-f,K2-18,Transit,174.34,0.611,409.6,7.44,1.65,1.76,0.12,3.62,40,Super-Earth
PLN-0017,Gliese-667C-g,Gliese-667C,Radial Velocity,6.3,0.067,1002.8,16.93,3.42,0.76,0.05,13.79,24.1,Sub-Neptune
PLN-0018,LHS-1140-b,LHS-1140,Direct Imaging,18.5,0.137,754.8,54.28,12.56,1.02,0,29.41,49,Hot Jupiter
PLN-0019,Beta-Pictoris-c,Beta-Pictoris,Transit Timing,496.28,1.227,203.2,242.73,9.9,0.43,0,30.55,35.8,Gas Giant
