buoy_id,ocean_basin,latitude,longitude,sensor_depth_meters,sea_surface_temp_celsius,salinity_psu,dissolved_oxygen_umol_kg,wave_height_meters,atmospheric_pressure_hpa,carbon_flux_mmol_m2,anomaly_flag
BUOY-0001,Equatorial Pacific,-4.84,-130.70,148,16.73,33.68,180.4,1.78,995.6,3.86,NORMAL
BUOY-0002,North Atlantic,56.37,-38.75,112.1,6.27,34.15,182.4,1.31,1006.4,0.39,NORMAL
BUOY-0003,Southern Ocean,-61.60,-68.04,1185,1.15,35.05,262.2,3.69,1009.1,-4.49,NORMAL
BUOY-0004,Indian Ocean,-1.70,94.39,57.8,22.01,33.84,182.3,1.11,1018.2,-2.19,NORMAL
BUOY-0005,Arctic Ocean,76.60,38.49,891.8,2.2,34.54,290.9,3.79,1017.2,1.41,NORMAL
BUOY-0006,North Pacific,36.74,-147.14,507.7,7.43,34.2,53.1,4.98,1002.2,-1.47,NORMAL
BUOY-0007,Equatorial Pacific,-3.48,-139.58,611.9,6.26,34.31,64.9,0.88,999.3,4.72,NORMAL
BUOY-0008,North Atlantic,54.45,-16.09,790,2.78,34.9,266.5,2.01,1007.1,-0.46,NORMAL
BUOY-0009,Southern Ocean,-52.24,-18.03,57.3,4.42,33.72,272.2,2.17,1020,-0.48,NORMAL
BUOY-0010,Indian Ocean,3.49,64.07,230.5,12.37,33.7,37.1,1.85,1020.3,-0.83,NORMAL
BUOY-0011,Arctic Ocean,81.86,39.72,253.3,5,33.91,46,1.03,1001.1,-4.92,NORMAL
BUOY-0012,North Pacific,46.38,-144.90,10,22.96,33.96,177.8,0.93,996.9,3.91,NORMAL
BUOY-0013,Equatorial Pacific,2.26,-103.05,512.3,6.53,34.35,81.2,3.93,1003.1,-1.94,NORMAL
BUOY-0014,North Atlantic,52.18,-27.81,1168.7,1.46,35.57,254.3,3.18,1006.1,1.42,NORMAL
BUOY-0015,Southern Ocean,-58.35,-15.70,26.3,6.08,33.45,216,2.05,996.3,3.78,NORMAL
BUOY-0016,Indian Ocean,3.90,76.65,446.8,7.38,34.23,52.8,4.16,1012.9,3.45,NORMAL
BUOY-0017,Arctic Ocean,74.10,0.63,7.2,6.6,33.45,215.2,1.69,1002.2,-5.05,NORMAL
BUOY-0018,North Pacific,1.45,-135.20,45,32.8,33.1,11.2,1.8,1004.2,8.4,CRITICAL_HEATWAVE_HYPOXIA
BUOY-0019,Equatorial Pacific,-1.91,-133.55,497.7,7,34.06,41.2,2.69,1012.7,-2.72,NORMAL
BUOY-0020,North Atlantic,59.44,-33.64,228.3,5.42,33.73,57,4.01,1008.3,-0.22,NORMAL
BUOY-0021,Southern Ocean,-55.37,-19.30,105.8,5.54,33.72,181.3,2.88,997.9,-0.04,NORMAL
BUOY-0022,Indian Ocean,-4.08,75.94,115.8,19.13,34.12,209.8,3.03,1013.4,-3.2,NORMAL
BUOY-0023,Arctic Ocean,75.80,30.10,8.6,6.26,33.81,219.6,3.43,1010.9,1.29,NORMAL
BUOY-0024,North Pacific,38.07,-154.37,301.9,10.1,34.44,74.1,5.16,1011.1,2.25,NORMAL
BUOY-0025,Equatorial Pacific,-2.84,-125.99,1189.8,2.13,35.12,288.3,0.84,1005.9,-0.94,NORMAL
BUOY-0026,North Atlantic,53.16,-44.17,70.1,6.3,33.57,204.5,4.24,1021.7,4.63,NORMAL
BUOY-0027,Southern Ocean,-54.55,-51.16,267.2,4.53,33.81,142.8,2.59,1021.6,2.04,NORMAL
BUOY-0028,Indian Ocean,-2.42,76.44,72.3,21.65,33.34,210.2,1.54,995.1,-2.87,NORMAL
BUOY-0029,Arctic Ocean,78.59,-15.21,20.7,6.11,33.95,176.5,3.02,1000.7,2.57,NORMAL
BUOY-0030,North Pacific,38.97,-156.22,5.3,23.58,33.5,197.4,2.83,1020.6,3.41,NORMAL
BUOY-0031,Equatorial Pacific,-1.95,-125.33,234.1,13.24,33.75,80.2,1.78,996.9,4.76,NORMAL
BUOY-0032,North Atlantic,43.42,-20.06,9.9,24.11,33.97,223.2,2.49,1010.2,-5.35,NORMAL
BUOY-0033,Southern Ocean,-61.00,-13.77,985.8,1.69,34.73,307.9,1.37,1000.2,3.27,NORMAL
