target_id,gene_symbol,chromosome,cleavage_efficiency_pct,off_target_risk_score,chromatin_accessibility_auc,gc_content_pct,microhomology_score,cell_viability_pct,transfection_efficiency_pct,pathway_target,clinical_tier
CRISPR-0001,TP53,chr2,43.9,34.4,0.251,43.4,46.3,82.8,67.4,Neurodegenerative Repair,Tier-2 Preclinical
CRISPR-0002,EGFR,chr7,62.6,44.2,0.472,47.5,66.8,80,87,Hemoglobinopathy (Sickle Cell),Tier-3 Discovery
CRISPR-0003,MYC,chr11,87.4,28.6,0.792,43.4,39,82.3,67.7,Metabolic Enzyme Knockin,Experimental
CRISPR-0004,VEGFA,chr13,53.6,32.7,0.37,53.8,39.2,85.1,83.7,Cardiovascular Channel,Tier-1 Approved
CRISPR-0005,KRAS,chr17,90.2,21.5,0.9,56.9,28.9,84.2,79.9,Oncology / Immuno-Gene,Tier-2 Preclinical
CRISPR-0006,HBB,chr19,64.8,37.1,0.565,46.4,51.5,82.1,68.5,Neurodegenerative Repair,Tier-3 Discovery
CRISPR-0007,HTT,chrX,52.6,22.4,0.283,47.4,31.8,86.5,78.6,Hemoglobinopathy (Sickle Cell),Experimental
CRISPR-0008,CFTR,chr1,50.9,50.2,0.343,58.3,45.7,78.2,94.5,Metabolic Enzyme Knockin,Tier-1 Approved
CRISPR-0009,PDCD1,chr2,67.7,34.7,0.631,62.6,21.7,81.8,87.8,Cardiovascular Channel,Tier-2 Preclinical
CRISPR-0010,CTLA4,chr7,73.1,26.5,0.569,52.5,31,83.9,93.9,Oncology / Immuno-Gene,Tier-3 Discovery
CRISPR-0011,PCSK9,chr11,54.1,44.3,0.303,50.7,65.5,76.5,83.8,Neurodegenerative Repair,Experimental
CRISPR-0012,BRCA1,chr13,64.7,17.9,0.536,44.3,20.9,89,75.6,Hemoglobinopathy (Sickle Cell),Tier-1 Approved
CRISPR-0013,TP53,chr17,76.6,49,0.789,63.8,40.7,79.6,70.6,Metabolic Enzyme Knockin,Tier-2 Preclinical
CRISPR-0014,EGFR,chr19,47.1,41.3,0.308,61.7,36,79.6,91.5,Cardiovascular Channel,Tier-3 Discovery
CRISPR-0015,MYC,chrX,94.5,88.7,0.88,74.5,86.2,28.4,89.1,Oncology / Immuno-Gene,Experimental
CRISPR-0016,VEGFA,chr1,45.3,22.8,0.31,60.4,11.7,84.6,83.1,Neurodegenerative Repair,Tier-1 Approved
CRISPR-0017,KRAS,chr2,85.6,35.4,0.767,55.2,44.2,79.7,89.5,Hemoglobinopathy (Sickle Cell),Tier-2 Preclinical
CRISPR-0018,HBB,chr7,94.7,27.4,0.877,43.2,39,87.3,70.7,Metabolic Enzyme Knockin,Tier-3 Discovery
